sample,station_volume_m3,passenger_heat_W_per_person,passenger_co2_L_s_person,train_direct_heat_W,structure_outdoor_UA_W_K,structure_capacitance_J_K,base_airflow_m3_s,maximum_airflow_m3_s,leakage_coefficient,outdoor_temperature_C,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
30,0.8699021498284918,98.4078378999503,0.004405116850660454,312292.793288479,3361.0492629930145,1076040123.6588755,37.888498967210204,90.54852049375171,0.41902567120685497,31.80001361220739,baseline,31.76519924211243,30.351908068618247,26.173928393472067,600.0,442.07933803641316,1.5007583488768432,60.6896380516007,68.37977564592025,138.85490902655417,13.842702531259675,67.51753124379168,3527.5,3282.5,0.0,0.0,13051.440278797052,13302.87345114217,7.983017912777429,19.37945870743628,21.835078954123322,25058,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
31,1.0860381274946795,71.08124579497337,0.004817186165674571,394244.7516320679,6206.2465615540095,1600575265.46049,15.261649804262735,118.97958388713164,0.4037803389318184,31.497567218382862,baseline,31.300584721094822,29.586153858157477,25.93127675489052,600.0,466.3273834581707,4.4187381271476625,33.689944958780465,43.037728433567224,26.382028738798233,9.998761908492922,77.76152603674029,3387.5,2677.5,0.0,0.0,16319.319322608188,16608.106757783684,4.025480001502206,8.616933243120906,11.007831366342478,25982,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
32,1.1344848676473092,73.09635157630524,0.005273069185536643,360495.598154546,3414.306117493877,1481080668.7785594,36.23348105461485,98.18635574186335,0.23739962205346782,28.940258664743045,baseline,29.672497151989546,28.453328180123748,25.80120070477375,600.0,452.3893255038221,11.635904310605838,47.7759126002515,54.28534199074975,67.5658963744631,10.282220121733603,73.54288185205006,3372.5,1055.0,0.0,0.0,17139.92233021803,17348.972674137454,6.121231443876206,11.697896738741635,13.291725693414026,17792,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
33,0.9486463255810619,74.29684801305956,0.005538253077354883,179494.8128458569,6402.590541123753,1364131265.6910448,24.68269208813087,115.77796490916919,0.3706357087262341,28.845474628419872,baseline,28.94439588644383,28.11378239655662,25.814727882789953,600.0,460.8938534663092,0.9511599719407968,34.305514964242626,39.19617813297888,25.24764001358664,10.451089953837045,50.91778368846391,3272.5,0.0,0.0,0.0,14365.659325149882,14507.059238310838,7.229834970294025,10.04516589093702,11.477224931527376,66410,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
34,1.0994203129064681,92.72292914060874,0.004953819568305444,364454.22202165006,3454.775611960318,872623001.5136119,28.575340336019465,107.23625874546994,0.47901909229807627,29.124708994226165,baseline,29.90930324859761,28.57354203111378,26.016777747983554,600.0,456.3853715898478,3.1992326116451295,40.894644296452576,48.032527617497834,43.16624110495302,13.043025365778961,74.03770983543805,3342.5,1397.5,0.0,0.0,16596.222632139354,16812.75221022663,6.316460013446409,10.332375418506276,12.135821601627416,82148,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
35,1.0854050719046695,60.99876946470614,0.0037372325435940093,158133.02981103768,6103.072661831871,1591586068.0747483,36.68814343050401,112.16277185165976,0.32251005338663163,28.779011368946982,baseline,28.788962494885027,28.12005199939771,25.769247150965327,600.0,448.00174632105035,0.7593715107941534,46.24716430898725,50.31024934141903,60.573008702623056,8.580493571368665,48.24756080911151,3367.5,0.0,0.0,0.0,16445.097936836723,16598.425831712742,6.398021000821683,11.835613139094056,12.875441273718968,41018,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
36,0.998579315380129,75.5172366266685,0.0034548058680585196,215672.57545283792,5608.267012697458,1798755116.911919,19.810435483950254,117.50401459121004,0.19982674111511836,28.463296737577593,baseline,28.806493967403924,27.898989213736474,25.71644542511666,600.0,461.40367479274215,6.000772784856963,28.21587118658857,33.465147319272006,14.347765017183017,10.62275795215137,55.440004014336544,2862.5,0.0,0.0,0.0,15128.736742309677,15270.65344768844,5.514306111394811,7.848892797555105,9.309099549908737,23714,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
37,1.1160293776435632,94.94982813253517,0.004835793081455441,305240.77913153433,6820.834920122217,1735195630.1499577,18.71112668329688,65.82270935447113,0.19582286478797797,34.26177549384076,baseline,32.957300644206384,31.332386481272277,26.082063929421338,600.0,455.97126511064215,7.4631255803542444,47.48505631339679,56.87455459741232,71.44607455310474,13.356275823976615,66.6360294741736,3497.5,3192.5,0.0,0.0,16678.62839493594,17066.7443246075,4.914517375323839,11.818948214641624,14.15597806352352,5876,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
38,1.0160280610267138,85.7846427393504,0.0040639876397206495,157703.25104003944,3099.006325988151,880616621.7203076,21.839418107742006,73.84982967340848,0.23593318373598315,29.4231844818079,baseline,29.242193312034942,28.383150642414545,25.982469935276924,600.0,459.09432512521937,1.4135872323968215,33.081815305487694,38.17103739609059,22.94621480112379,12.06703974533529,48.19383846273673,3312.5,845.0,0.0,0.0,15370.883692463764,15537.486280856456,5.994916440175075,9.044428488645488,10.435800299298739,24248,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
39,1.0028379112110632,88.10041812936966,0.0036219062915337835,244686.09669646513,6646.5414228547,1015824519.3687173,19.493853176432744,84.83787032975863,0.5504652151138739,31.940973328379084,baseline,31.185678995403862,29.89373815757816,26.219594051160925,600.0,454.2001942252395,0.4407294398843078,39.7142345867926,47.23073736561414,40.99178216573379,12.392792150197998,59.06669416978995,3462.5,2722.5,0.0,0.0,15074.46214041021,15335.777509549476,5.576483178479034,11.000513349502604,13.08252223171578,49832,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
40,0.8542413021436335,86.2508935804398,0.0030613877009810137,384132.0296535668,4013.3192402227583,908174584.2014818,31.67271652356542,72.68722939562632,0.5840674684094154,30.15789111546387,baseline,30.910892652597852,29.26925473622842,26.121294914402824,600.0,443.2321990482254,2.064955720459693,48.09039310675946,56.597484993271195,69.85821258590515,12.132625696981863,76.49743578942766,3477.5,2592.5,0.0,0.0,12852.550248626994,13063.381831388895,8.129370971665796,15.637785829523487,18.404078062943576,91796,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
41,1.0269601984553722,61.35875196160182,0.0050102362966965835,286353.32797123323,5031.429310711129,1642652567.0046992,20.074785946062214,91.71004309566138,0.20371980167475345,31.417457160960286,baseline,30.86378262240612,29.5458474458695,25.90187114915301,600.0,459.5358216101157,5.975474275270244,38.22588635210851,45.700838975274074,36.40719270959184,8.631131109265324,64.27509807913596,3442.5,2687.5,0.0,0.0,15453.558103002222,15704.664670739285,5.556382085930631,10.339545564127349,12.361411388898487,8360,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
